location_id,site,code,waypoint,latitude,longitude
1,Boundary Bay,BB,13,49.06598,-122.97473
2,Boundary Bay,BB,33,49.06666,-122.97264
3,Boundary Bay,BB,76,49.05354,-123.02444
4,Boundary Bay,BB,82,49.07633,-122.93179
5,Boundary Bay,BB,103,49.05617,-123.02252
6,Boundary Bay,BB,113,49.07666,-122.92851
7,Boundary Bay,BB,130,49.06675,-122.97542
8,Boundary Bay,BB,131,49.05499,-123.02417
9,Boundary Bay,BB,126,49.077725,-122.931164
10,Boundary Bay,BB,OP-01,49.07664,-122.92924
11,Boundary Bay,BB,OP-02,49.07682,-122.92884
12,Boundary Bay,BB,OP-03,49.05524,-123.02375
13,Boundary Bay,BB,OP-04,49.066238,-122.974096
14,Boundary Bay,BB,OP-05,49.066637,-122.975759
15,Boundary Bay,BB,OP-06,49.055352,-123.023486
16,Boundary Bay,BB,OP-07,49.0542,-123.022408
17,Boundary Bay,BB,OP-08,49.076268,-122.929754
18,Boundary Bay,BB,OP-09,,
19,Boundary Bay,BB,OP-10,49.066758,-122.974017
20,Brunswick Point,BP,25,49.053855,-123.132852
21,Brunswick Point,BP,29,49.04922,-123.129369
22,Brunswick Point,BP,31,49.051947,-123.128911
23,Brunswick Point,BP,49,49.054828,-123.15414
24,Brunswick Point,BP,80,49.055387,-123.156005
25,Brunswick Point,BP,89,49.058423,-123.145566
26,Brunswick Point,BP,95,49.050245,-123.127973
27,Brunswick Point,BP,100,49.054529,-123.156521
28,Brunswick Point,BP,149,49.057178,-123.158284
29,Brunswick Point,BP,173,49.060514,-123.155415
30,Brunswick Point,BP,175,49.0596065,-123.1483775
31,Brunswick Point,BP,176,49.0584205,-123.1565335
32,Brunswick Point,BP,177,49.059206,-123.146798
33,Brunswick Point,BP,178,49.0604695,-123.1538635
34,Brunswick Point,BP,298,49.05475,-123.135301
35,Cowichan Bay,CB,C1,48.76081,-123.63139
36,Cowichan Bay,CB,C2,48.758611,-123.626278
37,Cowichan Bay,CB,C3,48.757778,-123.62325
38,Cowichan Bay,CB,C4,48.758778,-123.633361
39,Cowichan Bay,CB,C5,48.756889,-123.628306
40,Cowichan Bay,CB,C6,48.755389,-123.626361
41,Cowichan Bay,CB,N1,48.765556,-123.624806
42,Cowichan Bay,CB,N2,48.76389,-123.62083
43,Cowichan Bay,CB,N3,48.76244,-123.62083
44,Cowichan Bay,CB,S1,48.7465,-123.640611
45,Cowichan Bay,CB,S2,48.744444,-123.634722
46,Cowichan Bay,CB,S3,48.74325,-123.625861
47,Cowichan Bay,CB,T1,48.752889,-123.633861
48,Cowichan Bay,CB,T2,48.751306,-123.629028
49,Cowichan Bay,CB,T3,48.751222,-123.626778
50,Cowichan Bay,CB,T4,48.750778,-123.636
51,Cowichan Bay,CB,T5,48.749861,-123.632306
52,Cowichan Bay,CB,T6,48.748722,-123.6285
53,Iona,IN,151,49.222422,-123.221458
54,Iona,IN,152,49.2247315,-123.2258035
55,Iona,IN,153,49.2163595,-123.2157275
56,Iona,IN,154,49.2196505,-123.2168795
57,Iona,IN,155,49.2247785,-123.2283255
58,Iona,IS,111,49.2126115,-123.2078405
59,Iona,IS,156,49.210487,-123.2080335
60,Iona,IS,157,49.210487,-123.2080335
61,Iona,IS,158,49.2132655,-123.2061795
62,Iona,IS,182,49.2158645,-123.2093465
63,Jensen's Bay,JB,2,49.119957,-125.885535
64,Jensen's Bay,JB,3,49.11980681,-125.8818907
65,Jensen's Bay,JB,4,49.120768,-125.885418
66,Jensen's Bay,JB,26,49.121194,-125.883541
67,Jensen's Bay,JB,33,49.119245,-125.881838
68,Jensen's Bay,JB,OP-01,49.119217,-125.881875
69,Jensen's Bay,JB,OP-02,49.118994,-125.882754
70,Jensen's Bay,JB,OP-03,49.119751,-125.884625
71,Jensen's Bay,JB,OP-04,49.119759,-125.885398
72,Jensen's Bay,JB,OP-05,,
73,Jensen's Bay,JB,OP-06,49.119758,-125.884575
74,Jensen's Bay,JB,OP-07,,
75,Jensen's Bay,JB,OP-08,49.121373,-125.88359
76,Jensen's Bay,JB,OP-09,49.122469,-125.886418
77,Jensen's Bay,JB,OP-10,49.119288,-125.8838
78,Maltby Slough,MS,36,49.119561,-125.83978
79,Maltby Slough,MS,42,49.121224,-125.838915
80,Maltby Slough,MS,44,49.121802,-125.837064
81,Maltby Slough,MS,71,49.120628,-125.839865
82,Maltby Slough,MS,OP-01,,
83,Maltby Slough,MS,OP-02,49.120829,-125.839621
84,Maltby Slough,MS,OP-03,49.121374,-125.83986
85,Sturgeon Bank,SB,69,49.143373,-123.200633
86,Sturgeon Bank,SB,99,49.136672,-123.202808
87,Sturgeon Bank,SB,107,49.144435,-123.201618
88,Sturgeon Bank,SB,112,49.137066,-123.203451
89,Sturgeon Bank,SB,118,49.144859,-123.200429
90,Sturgeon Bank,SB,124,49.143481,-123.201429
91,Sturgeon Bank,SB,129,49.136879,-123.202919
92,Sturgeon Bank,SB,205,49.13698,-123.201418
93,Sturgeon Bank,SB,212,49.142963,-123.200751
94,Sturgeon Bank,SB,220,49.136858,-123.201966
95,Sturgeon Bank,SB,801,49.140162,-123.204759
96,Sturgeon Bank,SB,802,49.139665,-123.204541
97,Sturgeon Bank,SB,803,49.137928,-123.204879
98,Sturgeon Bank,SB,804,49.13739,-123.204408
99,Sturgeon Bank,SB,805,49.135706,-123.203504
100,Sturgeon Bank,SB,806,49.135208,-123.203344
101,Jensen's Bay,JB,A1,49.125157,-125.883516
102,Jensen's Bay,JB,A2,49.12499,-125.882872
103,Jensen's Bay,JB,A3,49.124824,-125.882233
104,Jensen's Bay,JB,B1,49.123816,-125.88767
105,Jensen's Bay,JB,B2,49.123615,-125.887005
106,Jensen's Bay,JB,B3,49.12341,-125.8864
107,Jensen's Bay,JB,B4,49.123199,-125.885782
108,Jensen's Bay,JB,C1,49.121722,-125.88547
109,Jensen's Bay,JB,C2,49.121555,-125.884825
110,Jensen's Bay,JB,C3,49.121401,-125.884183